symbol,name_cn,issue_announcement_date,listing_date,asset_type_cn,exchange_cn,originator,financial_advisor,abs_plan_manager,fund_manager,offer_price_rmb,return_since_listing_pct,source_sheet,entity_type,price_asof,issue_size_rmb_bn,last_close_rmb,return_since_listing,asset_group,exchange,lifecycle_status,regulatory_path,regulatory_stage,zoning_type,pipeline_multiple_of_initial_assets,pipeline_readiness_score,regulatory_complexity_score,deflation_sensitivity_score,latest_news,source_url,source_asof,source_confidence,source_freshness
180301.SZ,红土创新盐田港REIT,2021-05-19,2021-06-21,仓储物流,深圳证券交易所,深圳港集团有限公司,国信证券股份有限公司,深创投红土资产管理(深圳)有限公司,红土创新基金管理有限公司,2.3,14.0089769328264,基础设施不动产REITs,listed_reit,2026-06-10,18.4,2.27,0.140089769328264,logistics,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180801.SZ,中航首钢绿能REIT,2021-05-19,2021-06-21,生态环保,深圳证券交易所,首钢环境产业有限公司,华泰联合证券有限责任公司,中航证券有限公司,中航基金管理有限公司,13.38,17.5636532118823,基础设施不动产REITs,listed_reit,2026-06-10,13.38,11.74,0.17563653211882302,environmental,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508000.SH,华安张江产业园REIT,2021-05-19,2021-06-21,园区基础设施,上海证券交易所,光控安石(北京)投资管理有限公司,国泰君安证券股份有限公司,华安未来资产管理(上海)有限公司,华安基金管理有限公司,2.99,-15.5489084017688,基础设施不动产REITs,listed_reit,2026-06-10,14.95,2.267,-0.15548908401768802,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508001.SH,浙商沪杭甬REIT,2021-05-19,2021-06-21,交通基础设施,上海证券交易所,杭州市交通投资集团有限公司,中国国际金融股份有限公司,浙江浙商证券资产管理有限公司,浙江浙商证券资产管理有限公司,8.72,-6.38021501147163,基础设施不动产REITs,listed_reit,2026-06-10,43.6,5.312,-0.0638021501147163,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508006.SH,富国首创水务REIT,2021-05-19,2021-06-21,生态环保,上海证券交易所,北京首创生态环保集团股份有限公司,光大证券股份有限公司,富国资产管理(上海)有限公司,富国基金管理有限公司,3.7,29.4818378573268,基础设施不动产REITs,listed_reit,2026-06-10,18.5,3.608,0.294818378573268,environmental,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508027.SH,东吴苏园产业REIT,2021-05-19,2021-06-21,园区基础设施,上海证券交易所,苏州工业园区建屋产业园开发有限公司,,东吴证券股份有限公司,东吴基金管理有限公司,3.88,-16.1009400307141,基础设施不动产REITs,listed_reit,2026-06-10,34.92,2.66,-0.161009400307141,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508056.SH,中金普洛斯REIT,2021-05-19,2021-06-21,仓储物流,上海证券交易所,普洛斯中国控股有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.89,-24.1656042296073,基础设施不动产REITs,listed_reit,2026-06-10,58.35,2.483,-0.24165604229607301,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180101.SZ,博时蛇口产园REIT,2021-05-20,2021-06-21,园区基础设施,深圳证券交易所,招商局光明科技园有限公司,中信证券股份有限公司,博时资本管理有限公司,博时基金管理有限公司,2.31,-24.306788,基础设施不动产REITs,listed_reit,2026-06-10,20.79,1.707,-0.24306788000000001,industrial_park,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180201.SZ,平安广州广河REIT,2021-05-20,2021-06-21,交通基础设施,深圳证券交易所,广州交通投资集团有限公司,平安证券股份有限公司,平安证券股份有限公司,平安基金管理有限公司,13.02,-13.2397951632591,基础设施不动产REITs,listed_reit,2026-06-10,91.14,7.937,-0.132397951632591,toll_road_transport,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508099.SH,建信中关村REIT,2021-11-16,2021-12-17,园区基础设施,上海证券交易所,北京中关村软件园发展有限责任公司,中信证券股份有限公司,建信资本管理有限责任公司,建信基金管理有限责任公司,3.2,-61.72789375,基础设施不动产REITs,listed_reit,2026-06-10,28.8,1.448,-0.6172789375,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
