symbol,name_cn,issue_announcement_date,listing_date,asset_type_cn,exchange_cn,originator,financial_advisor,abs_plan_manager,fund_manager,offer_price_rmb,return_since_listing_pct,source_sheet,entity_type,price_asof,issue_size_rmb_bn,last_close_rmb,return_since_listing,asset_group,exchange,lifecycle_status,regulatory_path,regulatory_stage,zoning_type,pipeline_multiple_of_initial_assets,pipeline_readiness_score,regulatory_complexity_score,deflation_sensitivity_score,latest_news,source_url,source_asof,source_confidence,source_freshness
180202.SZ,华夏越秀高速REIT,2021-11-16,2021-12-14,交通基础设施,深圳证券交易所,越秀(中国)交通基建投资有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,7.1,-21.4992986576411,基础设施不动产REITs,listed_reit,2026-06-10,21.3,5.147,-0.21499298657641097,toll_road_transport,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508018.SH,华夏中国交建REIT,2022-03-24,2022-04-28,交通基础设施,上海证券交易所,中交第二公路勘察设计研究院有限公司,,中信证券股份有限公司,华夏基金管理有限公司,9.399,-25.4764238392671,基础设施不动产REITs,listed_reit,2026-06-10,93.99,5.888,-0.254764238392671,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508008.SH,国金中国铁建REIT,2022-06-10,2022-07-08,交通基础设施,上海证券交易所,中铁建重庆投资集团有限公司,中信证券股份有限公司,国金证券股份有限公司,国金基金管理有限公司,9.586,15.4103184749818,基础设施不动产REITs,listed_reit,2026-06-10,47.93,7.559,0.154103184749818,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180401.SZ,鹏华深圳能源REIT,2022-06-22,2022-07-26,能源基础设施,深圳证券交易所,深圳能源集团股份有限公司,国信证券股份有限公司,国信证券股份有限公司,鹏华基金管理有限公司,5.896,14.3015049406839,基础设施不动产REITs,listed_reit,2026-06-10,35.376,5.65,0.143015049406839,energy_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180501.SZ,红土创新深圳安居REIT,2022-08-02,2022-08-31,保障性租赁住房,深圳证券交易所,深圳市安居集团有限公司,国信证券股份有限公司,深创投红土资产管理(深圳)有限公司,红土创新基金管理有限公司,2.484,19.0768979869929,基础设施不动产REITs,listed_reit,2026-06-10,12.42,3.413,0.190768979869929,rental_housing,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508058.SH,中金厦门安居REIT,2022-08-02,2022-08-31,保障性租赁住房,上海证券交易所,厦门安居集团有限公司,金圆统一证券有限公司,中国国际金融股份有限公司,中金基金管理有限公司,2.6,29.6309143786982,基础设施不动产REITs,listed_reit,2026-06-10,13.0,3.941,0.29630914378698203,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508068.SH,华夏北京保障房REIT,2022-08-09,2022-08-31,保障性租赁住房,上海证券交易所,北京保障房中心有限公司,中国国际金融股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.51,37.664985963837,基础设施不动产REITs,listed_reit,2026-06-10,12.55,4.049,0.37664985963837,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180102.SZ,华夏合肥高新REIT,2022-09-06,2022-10-10,园区基础设施,深圳证券交易所,合肥高新城市发展集团有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.19,-53.2163808921672,基础设施不动产REITs,listed_reit,2026-06-10,15.33,1.144,-0.532163808921672,industrial_park,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508021.SH,国泰海通临港创新产业园REIT,2022-09-07,2022-10-13,园区基础设施,上海证券交易所,上海临港奉贤经济发展有限公司,,上海国泰君安证券资产管理有限公司,上海国泰海通证券资产管理有限公司,4.12,-20.6656432038835,基础设施不动产REITs,listed_reit,2026-06-10,8.24,3.824,-0.20665643203883502,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508088.SH,国泰海通东久新经济REIT,2022-09-09,2022-10-14,园区基础设施,上海证券交易所,BOLINDA LIMITED,,上海国泰海通证券资产管理有限公司,上海国泰海通证券资产管理有限公司,3.035,12.3722487691112,基础设施不动产REITs,listed_reit,2026-06-10,15.175,3.785,0.12372248769111201,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508066.SH,华泰江苏交控REIT,2022-10-17,2022-11-15,交通基础设施,上海证券交易所,江苏沿江高速公路有限公司,中信证券股份有限公司,华泰证券(上海)资产管理有限公司,华泰证券(上海)资产管理有限公司,7.635,5.85394758476239,基础设施不动产REITs,listed_reit,2026-06-10,30.54,5.94,0.0585394758476239,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508009.SH,中金安徽交控REIT,2022-10-25,2022-11-22,交通基础设施,上海证券交易所,安徽省交通控股集团有限公司,招商证券股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,10.88,-19.0832362271415,基础设施不动产REITs,listed_reit,2026-06-10,108.8,5.949,-0.190832362271415,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508077.SH,华夏基金华润有巢REIT,2022-11-04,2022-12-09,保障性租赁住房,上海证券交易所,有巢住房租赁(深圳)有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.417,19.8383649433428,基础设施不动产REITs,listed_reit,2026-06-10,12.085,2.735,0.198383649433428,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180103.SZ,华夏和达高科REIT,2022-12-02,2022-12-27,园区基础设施,深圳证券交易所,杭州和达高科技发展集团有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.808,-28.6035122589081,基础设施不动产REITs,listed_reit,2026-06-10,14.04,1.91,-0.286035122589081,industrial_park,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508098.SH,嘉实京东仓储基础设施REIT,2022-12-27,2023-02-08,仓储物流,上海证券交易所,北京京东世纪贸易有限公司,中信证券股份有限公司,嘉实资本管理有限公司,嘉实基金管理有限公司,3.514,3.37845271475912,基础设施不动产REITs,listed_reit,2026-06-10,17.57,3.531,0.0337845271475912,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508028.SH,中信建投国家电投新能源REIT,2023-03-06,2023-03-29,能源基础设施,上海证券交易所,国家电投集团江苏电力有限公司,中信建投证券股份有限公司,中信建投证券股份有限公司,中信建投基金管理有限公司,9.8,29.5293048048048,基础设施不动产REITs,listed_reit,2026-06-10,78.4,9.802,0.295293048048048,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508096.SH,中航京能国际能源REIT,2023-03-06,2023-03-29,能源基础设施,上海证券交易所,京能国际能源发展(北京)有限公司,招商证券股份有限公司,中航证券有限公司,中航基金管理有限公司,9.782,16.278354275837,基础设施不动产REITs,listed_reit,2026-06-10,29.346,9.574,0.16278354275837,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508019.SH,中金湖北科投光谷REIT,2023-05-24,2023-06-30,园区基础设施,上海证券交易所,湖北省科技投资集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,2.625,-32.3813407317073,基础设施不动产REITs,listed_reit,2026-06-10,15.75,1.472,-0.323813407317073,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508007.SH,中金山东高速REIT,2023-09-19,2023-10-27,交通基础设施,上海证券交易所,山东高速集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,7.463,36.500039012016,基础设施不动产REITs,listed_reit,2026-06-10,29.852,8.021,0.36500039012016006,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508031.SH,国泰海通城投宽庭保租房REIT,2023-12-13,2024-01-12,保障性租赁住房,上海证券交易所,上海城投房屋租赁有限公司,国泰君安证券股份有限公司,上海国泰君安证券资产管理有限公司,上海国泰海通证券资产管理有限公司,3.05,31.7888009186352,基础设施不动产REITs,listed_reit,2026-06-10,30.5,3.8,0.317888009186352,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508017.SH,华夏金茂消费REIT,2023-12-20,2024-03-12,消费基础设施,上海证券交易所,上海兴秀茂商业管理有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.67,55.8882884543761,基础设施不动产REITs,listed_reit,2026-06-10,10.68,3.793,0.558882884543761,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508011.SH,嘉实物美消费REIT,2023-12-25,2024-03-12,消费基础设施,上海证券交易所,北京物美商业集团股份有限公司,,嘉实资本管理有限公司,嘉实基金管理有限公司,2.383,76.3991444351813,基础设施不动产REITs,listed_reit,2026-06-10,9.532,3.947,0.763991444351813,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180601.SZ,华夏华润消费REIT,2024-01-19,2024-03-14,消费基础设施,深圳证券交易所,华润商业资产控股有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,6.902,55.9546651122375,基础设施不动产REITs,listed_reit,2026-06-10,69.02,9.9119957896359,0.559546651122375,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508033.SH,易方达深高速REIT,2024-02-23,2024-03-29,交通基础设施,上海证券交易所,深圳高速公路集团股份有限公司,国信证券股份有限公司,易方达资产管理有限公司,易方达基金管理有限公司,6.825,19.7053451230228,基础设施不动产REITs,listed_reit,2026-06-10,20.475,6.363,0.197053451230228,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508026.SH,嘉实中国电建清洁能源REIT,2024-02-27,2024-03-28,能源基础设施,上海证券交易所,中电建水电开发集团有限公司,平安证券股份有限公司,嘉实资本管理有限公司,嘉实基金管理有限公司,2.675,58.5076560130011,基础设施不动产REITs,listed_reit,2026-06-10,10.7,4.01,0.5850765601300111,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180602.SZ,中金印力消费REIT,2024-03-20,2024-04-30,消费基础设施,深圳证券交易所,印力商用置业有限公司,中信证券股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.26,35.2399852760736,基础设施不动产REITs,listed_reit,2026-06-10,32.6,4.115,0.352399852760736,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508086.SH,工银河北高速REIT,2024-05-31,2024-06-28,交通基础设施,上海证券交易所,河北高速公路集团有限公司,国泰君安证券股份有限公司,工银瑞信投资管理有限公司,工银瑞信基金管理有限公司,5.698,3.35118992982457,基础设施不动产REITs,listed_reit,2026-06-10,56.98,4.995,0.0335118992982457,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508089.SH,华夏特变电工新能源REIT,2024-06-03,2024-07-02,能源基础设施,上海证券交易所,特变电工新疆新能源股份有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,3.879,23.2031418634064,基础设施不动产REITs,listed_reit,2026-06-10,11.637,4.974,0.232031418634064,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180302.SZ,华夏深国际REIT,2024-06-06,2024-07-09,仓储物流,深圳证券交易所,深圳市深国际物流发展有限公司,,中信证券股份有限公司,华夏基金管理有限公司,2.49,22.5123065060241,基础设施不动产REITs,listed_reit,2026-06-10,14.94,2.87,0.225123065060241,logistics,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508002.SH,华安百联消费REIT,2024-06-20,2024-08-16,消费基础设施,上海证券交易所,上海百联集团股份有限公司,国泰君安证券股份有限公司,华安未来资产管理(上海)有限公司,华安基金管理有限公司,2.332,34.1341032780083,基础设施不动产REITs,listed_reit,2026-06-10,23.32,3.02,0.341341032780083,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508015.SH,中信建投明阳智能新能源REIT,2024-06-24,2024-07-23,能源基础设施,上海证券交易所,北京洁源新能投资有限公司,中信建投证券股份有限公司,中信建投证券股份有限公司,中信建投基金管理有限公司,6.408,4.72654172148355,基础设施不动产REITs,listed_reit,2026-06-10,12.816,6.067,0.0472654172148355,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508005.SH,华夏首创奥莱REIT,2024-07-30,2024-08-28,消费基础设施,上海证券交易所,北京首创商业管理有限公司,,中信证券股份有限公司,华夏基金管理有限公司,2.468,68.5524624281884,基础设施不动产REITs,listed_reit,2026-06-10,19.744,4.208,0.6855246242818841,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508022.SH,博时津开产园REIT,2024-08-08,2024-09-19,园区基础设施,上海证券交易所,天津泰达科技工业园有限公司,国投证券股份有限公司,博时资本管理有限公司,博时基金管理有限公司,2.398,42.1831472810295,基础设施不动产REITs,listed_reit,2026-06-10,11.99,3.244,0.421831472810295,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180105.SZ,易方达广开产园REIT,2024-08-13,2024-09-23,园区基础设施,深圳证券交易所,广州开发区控股集团有限公司,,易方达资产管理有限公司,易方达基金管理有限公司,2.573,-38.1625123543123,基础设施不动产REITs,listed_reit,2026-06-10,20.584,1.511,-0.381625123543123,industrial_park,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180603.SZ,华夏大悦城消费REIT,2024-08-20,2024-09-20,消费基础设施,深圳证券交易所,卓远地产(成都)有限公司,,中信证券股份有限公司,华夏基金管理有限公司,3.323,46.6373022222222,基础设施不动产REITs,listed_reit,2026-06-10,33.23,4.661,0.46637302222222204,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180303.SZ,华泰宝湾物流REIT,2024-08-29,2024-10-29,仓储物流,深圳证券交易所,嘉兴宝湾物流有限公司,华泰联合证券有限责任公司,华泰证券(上海)资产管理有限公司,华泰证券(上海)资产管理有限公司,4.062,-4.25766764850269,基础设施不动产REITs,listed_reit,2026-06-10,12.186,3.76,-0.0425766764850269,logistics,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180502.SZ,招商基金蛇口租赁住房REIT,2024-09-09,2024-10-23,保障性租赁住房,深圳证券交易所,深圳市招商公寓发展有限公司,中信证券股份有限公司,招商财富资产管理有限公司,招商基金管理有限公司,2.727,23.8241837782341,基础设施不动产REITs,listed_reit,2026-06-10,13.635,3.483,0.238241837782341,rental_housing,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180203.SZ,招商高速公路REIT,2024-09-18,2024-11-21,交通基础设施,深圳证券交易所,招商局公路网络科技控股股份有限公司,中国国际金融股份有限公司,招商财富资产管理有限公司,招商基金管理有限公司,6.992,21.9243297707736,基础设施不动产REITs,listed_reit,2026-06-10,34.96,7.198,0.21924329770773598,toll_road_transport,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508003.SH,中金联东科创REIT,2024-09-20,2024-11-05,园区基础设施,上海证券交易所,北京联东金园管理科技有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.234,22.0627085872576,基础设施不动产REITs,listed_reit,2026-06-10,16.17,3.838,0.22062708587257598,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508069.SH,华夏南京交通高速公路REIT,2024-09-23,2024-11-01,交通基础设施,上海证券交易所,南京公路发展(集团)有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,5.452,21.482031358885,基础设施不动产REITs,listed_reit,2026-06-10,27.26,5.81,0.21482031358884998,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180701.SZ,银华绍兴原水水利REIT,2024-10-10,2024-11-08,水利设施,深圳证券交易所,绍兴柯桥水务集团有限公司,中国国际金融股份有限公司,银华长安资本管理(北京)有限公司,银华基金管理股份有限公司,2.828,26.5932121030557,基础设施不动产REITs,listed_reit,2026-06-10,16.968,4.02,0.26593212103055697,water_conservancy,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508097.SH,华泰南京建邺REIT,2024-10-24,2024-12-03,园区基础设施,上海证券交易所,南京市建邺区高新科技投资集团有限公司,华泰联合证券有限责任公司,华泰证券(上海)资产管理有限公司,华泰证券(上海)资产管理有限公司,2.556,1.83512901734104,基础设施不动产REITs,listed_reit,2026-06-10,10.224,2.524,0.0183512901734104,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180402.SZ,工银蒙能清洁能源REIT,2024-11-12,2024-12-10,能源基础设施,深圳证券交易所,内蒙古电力勘测设计院有限责任公司,华泰联合证券有限责任公司,工银瑞信投资管理有限公司,工银瑞信基金管理有限公司,5.337,13.3795451455547,基础设施不动产REITs,listed_reit,2026-06-10,10.674,6.713,0.133795451455547,energy_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508010.SH,中金重庆两江REIT,2024-11-19,2024-12-11,园区基础设施,上海证券交易所,重庆两江新区产业发展集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,2.55,-1.52016824774597,基础设施不动产REITs,listed_reit,2026-06-10,10.2,2.46,-0.0152016824774597,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180106.SZ,广发成都高投产业园REIT,2024-11-21,2024-12-19,园区基础设施,深圳证券交易所,成都高投置业有限公司,广发证券股份有限公司,广发证券资产管理(广东)有限公司,广发基金管理有限公司,3.125,-11.0832398058252,基础设施不动产REITs,listed_reit,2026-06-10,12.5,2.871,-0.110832398058252,industrial_park,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508036.SH,平安宁波交投REIT,2024-11-22,2024-12-26,交通基础设施,上海证券交易所,宁波交通投资集团有限公司,甬兴证券有限公司,平安证券股份有限公司,平安基金管理有限公司,8.088,5.26301805926785,基础设施不动产REITs,listed_reit,2026-06-10,80.88,7.945,0.0526301805926785,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508048.SH,华安外高桥REIT,2024-11-26,2024-12-25,仓储物流,上海证券交易所,上海外高桥集团股份有限公司,国泰君安证券股份有限公司,华安未来资产管理(上海)有限公司,华安基金管理有限公司,2.79,14.6444038104705,基础设施不动产REITs,listed_reit,2026-06-10,11.16,3.382,0.146444038104705,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508078.SH,中航易商仓储物流REIT,2024-11-29,2025-01-24,仓储物流,上海证券交易所,ESR Group Limited,招商证券股份有限公司,中航证券有限公司,中航基金管理有限公司,2.628,-10.6739692409241,基础设施不动产REITs,listed_reit,2026-06-10,21.024,2.538,-0.106739692409241,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508012.SH,招商科创REIT,2024-12-03,2024-12-31,园区基础设施,上海证券交易所,上海杨浦科技创业中心有限公司,,招商财富资产管理有限公司,招商基金管理有限公司,3.2,-17.1133182748992,基础设施不动产REITs,listed_reit,2026-06-10,9.6,2.5,-0.171133182748992,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180605.SZ,易方达华威市场REIT,2024-12-25,2025-01-24,消费基础设施,深圳证券交易所,福建华威农商(集团)有限公司,兴业证券股份有限公司,易方达资产管理有限公司,易方达基金管理有限公司,3.027,25.8456355781449,基础设施不动产REITs,listed_reit,2026-06-10,15.135,4.707,0.258456355781449,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508087.SH,国泰海通济南能源供热REIT,2024-12-26,2025-02-17,市政设施,上海证券交易所,济南热力集团有限公司,国泰君安证券股份有限公司,上海国泰君安证券资产管理有限公司,上海国泰海通证券资产管理有限公司,7.48,17.5110571266968,基础设施不动产REITs,listed_reit,2026-06-10,14.96,10.833,0.17511057126696802,municipal_facilities,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508092.SH,华夏金隅智造工场REIT,2025-01-08,2025-02-26,园区基础设施,上海证券交易所,北京金隅集团股份有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,2.839,0.00588650772148647,基础设施不动产REITs,listed_reit,2026-06-10,11.356,3.549,5.88650772148647e-05,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508084.SH,汇添富九州通医药REIT,2025-01-13,2025-02-27,仓储物流,上海证券交易所,九州通医药集团物流有限公司,中信证券股份有限公司,汇添富资本管理有限公司,汇添富基金管理股份有限公司,2.895,10.4462489224138,基础设施不动产REITs,listed_reit,2026-06-10,11.58,3.933,0.10446248922413799,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508055.SH,汇添富上海地产租赁住房REIT,2025-03-08,2025-03-31,保障性租赁住房,上海证券交易所,上海地产房屋租赁有限公司,东方证券股份有限公司,汇添富资本管理有限公司,汇添富基金管理股份有限公司,2.724,-7.44403959333523,基础设施不动产REITs,listed_reit,2026-06-10,13.62,3.196,-0.0744403959333523,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180305.SZ,南方顺丰物流REIT,2025-03-12,2025-04-21,仓储物流,深圳证券交易所,深圳嘉丰产业园管理有限公司,华泰联合证券有限责任公司,南方资本管理有限公司,南方基金管理股份有限公司,3.29,-3.82127791164658,基础设施不动产REITs,listed_reit,2026-06-10,32.9,3.558,-0.0382127791164658,logistics,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508085.SH,华泰苏州恒泰租赁住房REIT,2025-04-09,2025-05-21,保障性租赁住房,上海证券交易所,苏州工业园区公租房管理有限公司,华泰联合证券有限责任公司,华泰证券(上海)资产管理有限公司,华泰证券(上海)资产管理有限公司,2.734,1.58838390545863,基础设施不动产REITs,listed_reit,2026-06-10,13.67,3.552,0.0158838390545863,rental_housing,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508080.SH,中金亦庄产业园REIT,2025-05-30,2025-06-26,园区基础设施,上海证券交易所,北京亦庄盛元投资开发集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,2.72,-5.9164809954751,基础设施不动产REITs,listed_reit,2026-06-10,10.88,3.332,-0.059164809954751,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180606.SZ,中金中国绿发商业REIT,2025-06-04,2025-06-27,消费基础设施,深圳证券交易所,山东绿发商业管理有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.16,-4.02267074001946,基础设施不动产REITs,listed_reit,2026-06-10,15.8,3.928,-0.0402267074001946,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508090.SH,中银中外运仓储物流REIT,2025-06-11,2025-07-29,仓储物流,上海证券交易所,中国外运股份有限公司,招商证券股份有限公司,中银资产管理有限公司,中银基金管理有限公司,3.277,0.711132603715958,基础设施不动产REITs,listed_reit,2026-06-10,13.108,3.902,0.0071113260371595795,logistics,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
